,no,vol,article no,pages in range,publisher name,publisher location,publisher year
0,1 ,9,,132-136,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
1,,,,103-111,Russian State Social University,Moscow,2019
2,,,,108-122,Faculty of Management University of Warsaw,Warsaw,2019
3,,,,,University North,Koprivnica,2019
4,,,,,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
5,,,,,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
6,,,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
7,,,,80-90,Russian State Social University,Moscow,2019
8,,,,2-10,Faculty of Management University of Warsaw,Warsaw,2019
9,,,,64-79,University North,Koprivnica,2019
10,,,,133-142,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
11,,,,123-132,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
12,,,,25-31,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
13,,,,24-37,Russian State Social University,Moscow,2019
14,2 ,53,,67-77,Faculty of Management University of Warsaw,Warsaw,2019
15,20 ,,,87-102,University North,Koprivnica,2019
16,,,,230-241,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
17,,,,57-72,,Sofia,2019
18,,,,29-40,CeDeWu,Warszawa,2019
19,,,,91-104,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
20,20 ,,,23-37,Publishing House of the University of Economics in Katowice,Katowice,2019
21,,,,169-178,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
22,2 ,14,,389-403,Russian State Social University,Moscow,2019
23,,,,,Faculty of Management University of Warsaw,Warsaw,2019
24,,11,,40-52,University North,Koprivnica,2019
25,,,,125-138,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
26,,,,105-124,Wydawnictwo Placet,Warszawa,2019
27,,,,,Wydawnictwo Placet,Warszawa,2019
28,,61,,3-16,Wydawnictwo Placet,Warszawa,2019
29,3 ,11,,117-131,Wydawnictwo Placet,Warszawa,2019
30,,,,7-17,International Business Information Management Association (IBIMA),Granada,2019
31,3 ,11,,48-59,International Business Information Management Association (IBIMA),Granada,2019
32,,,,44-59,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
33,,,,14-15,Difin,Warszawa,2019
34,2 ,55,,118-126,Difin,Warszawa,2019
35,,,,185-211,Difin,Warszawa,2019
36,,,,65-75,Difin,Warszawa,2019
37,,,,102-119,International Business Information Management Association (IBIMA),Granada,2019
38,3 ,7,,65-82,Difin,Warszawa,2019
39,,,,15-36,International Business Information Management Association (IBIMA),Granada,2019
40,,,,85-102,,Sofia,2019
41,,,,8417-8423,Difin,Warszawa,2019
42,,,,492-496,Difin,Warszawa,2019
43,,,,122-133,Wydawnictwo Placet,Warszawa,2019
44,,57,,191-203,Publishing House of the University of Economics in Katowice,Katowice,2019
45,,,,165-194,Publishing House of the University of Economics in Katowice,Katowice,2019
46,,,,7355-7365,Publishing House of the University of Economics in Katowice,Katowice,2019
47,,,,254-269,Masaryk University,Brno,2019
48,,,,2517-2526,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
49,,,,279-287,Azerbaijan State University of Economics (UNEC),Baku,2019
50,,,,383-392,University North,Koprivnica,2019
51,,,,72-97,Faculty of Management University of Warsaw,Warsaw,2019
52,5 ,67,,1309-1323,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
53,,,,19-36,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
54,,,,231-255,Azerbaijan State University of Economics (UNEC),Baku,2019
55,,,,100-117,University North,Koprivnica,2019
56,,,,2-8,Faculty of Management University of Warsaw,Warsaw,2019
57,,,,199-212,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
58,,,,141-156,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
59,,,,177-188,Springer,Cham,2019
60,4 ,21,,13-18,Springer,Cham,2019
61,6 ,24,,748-766,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
62,,,,165-176,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
63,,,,39-50,Springer,Cham,2019
64,2 ,,,146-159,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
65,2 ,,,42-57,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
66,,,,97-121,Springer,Cham,2019
67,,,,84-96,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
68,,,,223-237,University North,Koprivnica,2019
69,,,,259-272,Faculty of Management University of Warsaw,Warsaw,2019
70,,,,122-132,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
71,,,,238-249,Springer,Cham,2019
72,,,,19-28,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
73,,,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
74,,,,75-85,University North,Koprivnica,2019
75,20 ,11,,,Faculty of Management University of Warsaw,Warsaw,2019
76,,63,,16-24,"Faculty of Law, Economics and Social Sciences Sale - Mohammed V University in Rabat",Rabat,2019
77,,,,5-16,Springer,Cham,2019
78,19 ,11,,,Springer,Cham,2019
79,,,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
80,10 ,123,,906-911,Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej,Lublin,2019
81,,,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
82,,63,,25-34,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
83,,,,1543-1548,Springer,Cham,2019
84,,,,13-24,Wydawnictwo SGGW,Warszawa,2019
85,,,,,Wydawnictwo SGGW,Warszawa,2019
86,,,,163-177,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
87,,,,,Wydawnictwo SGGW,Warszawa,2019
88,,,,27-28,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
89,,,,137-153,Wydawnictwo SGGW,Warszawa,2019
90,,14,,29-43,Wydawnictwo SGGW,Warszawa,2019
91,,,,276-285,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
92,,,,,Wydawnictwo SGGW,Warszawa,2019
93,11 ,11,,,Publishing House of the University of Economics in Katowice,Katowice,2019
94,,,,231-240,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
